hour,minute,operation_id,train_type,destination,platform,departure_dt,time_iso,stop_stations
16,13,0002002c,特急,新宿,３,16:13,2025-09-06T16:13:00+09:00,"[{""station"": ""京王八王子"", ""time"": ""2025-09-06T16:08:00+09:00""}, {""station"": ""北野"", ""time"": ""2025-09-06T16:13:00+09:00""}, {""station"": ""新宿"", ""time"": ""2025-09-06T16:59:00+09:00""}]"
16,21,0002002d,特急,新宿,３,16:21,2025-09-06T16:21:00+09:00,"[{""station"": ""京王八王子"", ""time"": ""2025-09-06T16:18:00+09:00""}, {""station"": ""北野"", ""time"": ""2025-09-06T16:21:00+09:00""}, {""station"": ""新宿"", ""time"": ""2025-09-06T17:06:00+09:00""}]"
16,33,0002002e,特急,新宿,３,16:33,2025-09-06T16:33:00+09:00,"[{""station"": ""京王八王子"", ""time"": ""2025-09-06T16:31:00+09:00""}, {""station"": ""北野"", ""time"": ""2025-09-06T16:33:00+09:00""}, {""station"": ""新宿"", ""time"": ""2025-09-06T17:19:00+09:00""}]"
16,41,0002002f,特急,新宿,３,16:41,2025-09-06T16:41:00+09:00,"[{""station"": ""京王八王子"", ""time"": ""2025-09-06T16:37:00+09:00""}, {""station"": ""北野"", ""time"": ""2025-09-06T16:41:00+09:00""}, {""station"": ""新宿"", ""time"": ""2025-09-06T17:25:00+09:00""}]"
16,52,00020030,特急,新宿,３,16:52,2025-09-06T16:52:00+09:00,"[{""station"": ""京王八王子"", ""time"": ""2025-09-06T16:49:00+09:00""}, {""station"": ""北野"", ""time"": ""2025-09-06T16:52:00+09:00""}, {""station"": ""新宿"", ""time"": ""2025-09-06T17:31:00+09:00""}]"
17,1,00020051,特急,新宿,３,17:01,2025-09-06T17:01:00+09:00,"[{""station"": ""高尾山口"", ""time"": ""2025-09-06T16:47:00+09:00""}, {""station"": ""高尾"", ""time"": ""2025-09-06T16:51:00+09:00""}, {""station"": ""北野"", ""time"": ""2025-09-06T17:01:00+09:00""}, {""station"": ""新宿"", ""time"": ""2025-09-06T17:43:00+09:00""}]"
17,10,00020031,特急,新宿,３,17:10,2025-09-06T17:10:00+09:00,"[{""station"": ""京王八王子"", ""time"": ""2025-09-06T17:06:00+09:00""}, {""station"": ""北野"", ""time"": ""2025-09-06T17:10:00+09:00""}, {""station"": ""新宿"", ""time"": ""2025-09-06T17:51:00+09:00""}]"
17,21,00020032,特急,新宿,３,17:21,2025-09-06T17:21:00+09:00,"[{""station"": ""京王八王子"", ""time"": ""2025-09-06T17:18:00+09:00""}, {""station"": ""北野"", ""time"": ""2025-09-06T17:21:00+09:00""}, {""station"": ""新宿"", ""time"": ""2025-09-06T18:05:00+09:00""}]"
17,32,00020033,特急,新宿,３,17:32,2025-09-06T17:32:00+09:00,"[{""station"": ""京王八王子"", ""time"": ""2025-09-06T17:30:00+09:00""}, {""station"": ""北野"", ""time"": ""2025-09-06T17:32:00+09:00""}, {""station"": ""新宿"", ""time"": ""2025-09-06T18:12:00+09:00""}]"
17,42,00020052,特急,新宿,３,17:42,2025-09-06T17:42:00+09:00,"[{""station"": ""高尾山口"", ""time"": ""2025-09-06T17:28:00+09:00""}, {""station"": ""高尾"", ""time"": ""2025-09-06T17:32:00+09:00""}, {""station"": ""北野"", ""time"": ""2025-09-06T17:42:00+09:00""}, {""station"": ""新宿"", ""time"": ""2025-09-06T18:25:00+09:00""}]"
17,52,00020034,特急,新宿,３,17:52,2025-09-06T17:52:00+09:00,"[{""station"": ""京王八王子"", ""time"": ""2025-09-06T17:50:00+09:00""}, {""station"": ""北野"", ""time"": ""2025-09-06T17:52:00+09:00""}, {""station"": ""新宿"", ""time"": ""2025-09-06T18:32:00+09:00""}]"
