hour,minute,operation_id,train_type,destination,platform,departure_dt,time_iso,stop_stations
14,20,8002026b,特急,京王八王子,３,14:20,2025-09-08T14:20:00+09:00,"[{""station"": ""新宿"", ""time"": ""2025-09-08T14:20:00+09:00""}, {""station"": ""北野"", ""time"": ""2025-09-08T14:59:00+09:00""}, {""station"": ""京王八王子"", ""time"": ""2025-09-08T15:01:00+09:00""}]"
14,40,8002026c,特急,京王八王子,３,14:40,2025-09-08T14:40:00+09:00,"[{""station"": ""新宿"", ""time"": ""2025-09-08T14:40:00+09:00""}, {""station"": ""北野"", ""time"": ""2025-09-08T15:19:00+09:00""}, {""station"": ""京王八王子"", ""time"": ""2025-09-08T15:21:00+09:00""}]"
15,0,8002026d,特急,京王八王子,３,15:00,2025-09-08T15:00:00+09:00,"[{""station"": ""新宿"", ""time"": ""2025-09-08T15:00:00+09:00""}, {""station"": ""北野"", ""time"": ""2025-09-08T15:39:00+09:00""}, {""station"": ""京王八王子"", ""time"": ""2025-09-08T15:41:00+09:00""}]"
15,20,8002026e,特急,京王八王子,３,15:20,2025-09-08T15:20:00+09:00,"[{""station"": ""新宿"", ""time"": ""2025-09-08T15:20:00+09:00""}, {""station"": ""北野"", ""time"": ""2025-09-08T16:01:00+09:00""}, {""station"": ""京王八王子"", ""time"": ""2025-09-08T16:03:00+09:00""}]"
15,40,8002026f,特急,京王八王子,３,15:40,2025-09-08T15:40:00+09:00,"[{""station"": ""新宿"", ""time"": ""2025-09-08T15:40:00+09:00""}, {""station"": ""北野"", ""time"": ""2025-09-08T16:20:00+09:00""}, {""station"": ""京王八王子"", ""time"": ""2025-09-08T16:23:00+09:00""}]"
15,50,80020270,特急,京王八王子,３,15:50,2025-09-08T15:50:00+09:00,"[{""station"": ""新宿"", ""time"": ""2025-09-08T15:50:00+09:00""}, {""station"": ""北野"", ""time"": ""2025-09-08T16:31:00+09:00""}, {""station"": ""京王八王子"", ""time"": ""2025-09-08T16:33:00+09:00""}]"
16,0,80020271,特急,京王八王子,３,16:00,2025-09-08T16:00:00+09:00,"[{""station"": ""新宿"", ""time"": ""2025-09-08T16:00:00+09:00""}, {""station"": ""北野"", ""time"": ""2025-09-08T16:39:00+09:00""}, {""station"": ""京王八王子"", ""time"": ""2025-09-08T16:41:00+09:00""}]"
16,10,80020272,特急,京王八王子,３,16:10,2025-09-08T16:10:00+09:00,"[{""station"": ""新宿"", ""time"": ""2025-09-08T16:10:00+09:00""}, {""station"": ""北野"", ""time"": ""2025-09-08T16:50:00+09:00""}, {""station"": ""京王八王子"", ""time"": ""2025-09-08T16:53:00+09:00""}]"
16,20,80020273,特急,京王八王子,３,16:20,2025-09-08T16:20:00+09:00,"[{""station"": ""新宿"", ""time"": ""2025-09-08T16:20:00+09:00""}, {""station"": ""北野"", ""time"": ""2025-09-08T17:00:00+09:00""}, {""station"": ""京王八王子"", ""time"": ""2025-09-08T17:03:00+09:00""}]"
16,31,80020274,特急,京王八王子,３,16:31,2025-09-08T16:31:00+09:00,"[{""station"": ""新宿"", ""time"": ""2025-09-08T16:31:00+09:00""}, {""station"": ""北野"", ""time"": ""2025-09-08T17:12:00+09:00""}, {""station"": ""京王八王子"", ""time"": ""2025-09-08T17:15:00+09:00""}]"
16,41,80020275,特急,京王八王子,３,16:41,2025-09-08T16:41:00+09:00,"[{""station"": ""新宿"", ""time"": ""2025-09-08T16:41:00+09:00""}, {""station"": ""北野"", ""time"": ""2025-09-08T17:22:00+09:00""}, {""station"": ""京王八王子"", ""time"": ""2025-09-08T17:24:00+09:00""}]"
16,51,80020276,特急,京王八王子,３,16:51,2025-09-08T16:51:00+09:00,"[{""station"": ""新宿"", ""time"": ""2025-09-08T16:51:00+09:00""}, {""station"": ""北野"", ""time"": ""2025-09-08T17:33:00+09:00""}, {""station"": ""京王八王子"", ""time"": ""2025-09-08T17:35:00+09:00""}]"
