hour,minute,operation_id,train_type,destination,platform,departure_dt,time_iso,stop_stations
13,37,00040047,各駅停車,新宿,２,13:37,2025-09-07T13:37:00+09:00,"[{""station"": ""高尾山口"", ""time"": ""2025-09-07T13:37:00+09:00""}, {""station"": ""高尾"", ""time"": ""2025-09-07T13:40:00+09:00""}, {""station"": ""北野"", ""time"": ""2025-09-07T13:54:00+09:00""}, {""station"": ""新宿"", ""time"": ""2025-09-07T15:07:00+09:00""}]"
13,46,00040011,特急,新宿,１,13:46,2025-09-07T13:46:00+09:00,"[{""station"": ""高尾山口"", ""time"": ""2025-09-07T13:46:00+09:00""}, {""station"": ""高尾"", ""time"": ""2025-09-07T13:49:00+09:00""}, {""station"": ""北野"", ""time"": ""2025-09-07T14:01:00+09:00""}, {""station"": ""新宿"", ""time"": ""2025-09-07T14:43:00+09:00""}]"
13,56,00040048,各駅停車,新宿,１,13:56,2025-09-07T13:56:00+09:00,"[{""station"": ""高尾山口"", ""time"": ""2025-09-07T13:56:00+09:00""}, {""station"": ""高尾"", ""time"": ""2025-09-07T13:59:00+09:00""}, {""station"": ""北野"", ""time"": ""2025-09-07T14:14:00+09:00""}, {""station"": ""新宿"", ""time"": ""2025-09-07T15:27:00+09:00""}]"
14,7,00040012,特急,新宿,１,14:07,2025-09-07T14:07:00+09:00,"[{""station"": ""高尾山口"", ""time"": ""2025-09-07T14:07:00+09:00""}, {""station"": ""高尾"", ""time"": ""2025-09-07T14:10:00+09:00""}, {""station"": ""北野"", ""time"": ""2025-09-07T14:21:00+09:00""}, {""station"": ""新宿"", ""time"": ""2025-09-07T15:06:00+09:00""}]"
14,15,0004006a,Mt.TAKAO号,新宿,２,14:15,2025-09-07T14:15:00+09:00,"[{""station"": ""高尾山口"", ""time"": ""2025-09-07T14:15:00+09:00""}, {""station"": ""高尾"", ""time"": ""2025-09-07T14:17:00+09:00""}, {""station"": ""北野"", ""time"": ""2025-09-07T14:26:00+09:00""}, {""station"": ""新宿"", ""time"": ""2025-09-07T15:09:00+09:00""}]"
14,17,00040049,各駅停車,新宿,１,14:17,2025-09-07T14:17:00+09:00,"[{""station"": ""高尾山口"", ""time"": ""2025-09-07T14:17:00+09:00""}, {""station"": ""高尾"", ""time"": ""2025-09-07T14:20:00+09:00""}, {""station"": ""北野"", ""time"": ""2025-09-07T14:34:00+09:00""}, {""station"": ""新宿"", ""time"": ""2025-09-07T15:47:00+09:00""}]"
14,26,00040013,特急,新宿,１,14:26,2025-09-07T14:26:00+09:00,"[{""station"": ""高尾山口"", ""time"": ""2025-09-07T14:26:00+09:00""}, {""station"": ""高尾"", ""time"": ""2025-09-07T14:29:00+09:00""}, {""station"": ""北野"", ""time"": ""2025-09-07T14:41:00+09:00""}, {""station"": ""新宿"", ""time"": ""2025-09-07T15:23:00+09:00""}]"
14,37,0004004a,各駅停車,新宿,２,14:37,2025-09-07T14:37:00+09:00,"[{""station"": ""高尾山口"", ""time"": ""2025-09-07T14:37:00+09:00""}, {""station"": ""高尾"", ""time"": ""2025-09-07T14:40:00+09:00""}, {""station"": ""北野"", ""time"": ""2025-09-07T14:55:00+09:00""}, {""station"": ""新宿"", ""time"": ""2025-09-07T16:08:00+09:00""}]"
14,47,00040014,特急,新宿,１,14:47,2025-09-07T14:47:00+09:00,"[{""station"": ""高尾山口"", ""time"": ""2025-09-07T14:47:00+09:00""}, {""station"": ""高尾"", ""time"": ""2025-09-07T14:50:00+09:00""}, {""station"": ""北野"", ""time"": ""2025-09-07T15:02:00+09:00""}, {""station"": ""新宿"", ""time"": ""2025-09-07T15:43:00+09:00""}]"
14,56,0004004b,各駅停車,新宿,１,14:56,2025-09-07T14:56:00+09:00,"[{""station"": ""高尾山口"", ""time"": ""2025-09-07T14:56:00+09:00""}, {""station"": ""高尾"", ""time"": ""2025-09-07T15:00:00+09:00""}, {""station"": ""北野"", ""time"": ""2025-09-07T15:15:00+09:00""}, {""station"": ""新宿"", ""time"": ""2025-09-07T16:28:00+09:00""}]"
